wikidata_code_B,education
Q173994,"['École Polytechnique', 'Paris Dauphine University', 'Massachusetts Institute of Technology', 'École des Ponts ParisTech']"
Q268675,"['Panthéon-Assas University', 'Paris-Sorbonne University - Paris IV', 'University of Paris VI: Pierre-and-Marie-Curie University']"
Q557272,['Cours Florent']
Q183471,['']
Q561124,"[""Conservatoire national supérieur d'art dramatique""]"
Q378116,"['École normale supérieure', 'Lycée Louis-le-Grand', 'Pantheon-Sorbonne University', 'University of Paris (1896-1968)']"
Q543169,"[""Conservatoire national supérieur d'art dramatique""]"
Q10681,"['Lycée Voltaire', 'University of Paris III: Sorbonne Nouvelle', 'University of Rennes 2 - Upper Brittany', 'École pratique des hautes études']"
Q32055,['École Polytechnique']
Q550717,"['École nationale supérieure des Beaux-Arts', 'University of Paris III: Sorbonne Nouvelle']"
Q267244,"[""Conservatoire national supérieur d'art dramatique"", 'Conservatoire à rayonnement régional de Tours']"
Q518457,"[""Conservatoire national supérieur d'art dramatique""]"
Q548400,['Lycée Pasteur']
Q38554,"['Cours Simon', 'University of Poitiers']"
Q238315,['Institut des hautes études cinématographiques']
Q284731,['Cours Simon']
Q982005,"['Saint-Jean de Passy', 'University of Paris VI: Pierre-and-Marie-Curie University']"
Q447507,['Paris Nanterre University']
Q42402,['University of Pisa']
Q53009,['La Sapienza University of Rome']
Q189307,['University of Padua']
Q203840,['Finch College']
Q47683,['University of Genoa']
Q315258,"[""Accademia Nazionale d'Arte Drammatica Silvio D'Amico""]"
Q47904,"['Bocconi University', 'Yale University']"
Q25106,['University of Genoa']
Q83182,['Milan Conservatory']
Q276038,['Milan Conservatory']
Q311687,['La Sapienza University of Rome']
Q232468,['University of Siena']
Q380685,"[""Accademia Nazionale d'Arte Drammatica Silvio D'Amico"", 'Experimental Centre of Cinematography']"
Q235351,['Bristol Old Vic Theatre School']
Q485885,['University of Bologna']
Q294460,"['Liceo Classico Massimiliano Massimo', 'La Sapienza University of Rome', 'Massachusetts Institute of Technology']"
Q50002,['Bocconi University']
Q231781,"['University of Paris (1896-1968)', 'University of Pisa', 'Scuola Normale Superiore']"
Q295589,['University of Turin']
Q5444,"['University of Bari', 'University of Salerno', ""D'Annunzio University of Chieti–Pescara""]"
Q229437,['University of Florence']
Q47602,['University of Pisa']
Q60306,['Central Saint Martins']
Q440710,['La Sapienza University of Rome']
Q559529,['University of Bologna']
Q560126,['La Sapienza University of Rome']
Q55460,"[""Accademia Nazionale d'Arte Drammatica Silvio D'Amico"", 'La Sapienza University of Rome']"
Q47583,['La Sapienza University of Rome']
Q363413,['Experimental Centre of Cinematography']
Q160058,"['University of Milan', 'Milan Conservatory']"
Q25153,['University of Milan']
Q47832,['University of Pavia']
Q53046,"['La Sapienza University of Rome', 'Experimental Centre of Cinematography']"
Q254462,"[""Accademia Nazionale d'Arte Drammatica Silvio D'Amico""]"
Q524544,"[""Accademia Nazionale d'Arte Drammatica Silvio D'Amico""]"
Q3956186,"['La Sapienza University of Rome', 'University of Palermo']"
Q106927,['Brera Academy']
Q505666,['IUAV University of Venice']
Q471344,['Lycée français Chateaubriand']
Q2426702,['University of Bologna']
Q47547,['University of Milan']
