wikidata_code_b,educationQ20961731,['École nationale supérieure des Beaux-Arts']
Q6893189,['University of Southampton']
Q20525676,['University of Rijeka']
Q18627673,['University of Ljubljana']
Q12702525,"['SMK Ibrahim', 'Malay College Kuala Kangsar', 'The London Institute of Banking & Finance', 'University of London']"
Q12249847,['University of Aden']
Q6894506,['National University of Singapore']
Q5341508,"['University of Ghana', 'Accra Academy', 'Ghana School of Law']"
Q11708457,['Samara State Technical University']
Q11710908,['Maxim Tank Belarusian State Pedagogical University']
Q23304499,['University of Sussex']
Q27758163,['University of Kinshasa']
Q16107180,"['Indiana State University', 'University of Benghazi']"
Q4666119,['Texas Tech University']
Q16186874,['Georgetown University']
Q4320181,['Gerasimov Institute of Cinematography']
Q55759662,['University of Bath']
Q6401674,['Mandalay University']
Q19271551,['University of Sarajevo']
Q13133751,"['Minsk State Art College', 'Belarusian State Academy of Arts']"
Q23822274,['ESAD de Reims']
Q28864355,['University of Guyana']
Q16192857,"['Ghana-India Kofi Annan Centre of Excellence in ICT', 'Ghana Institute of Management and Public Administration']"
Q21004707,['American University of Beirut']
Q20466888,['University of Science Malaysia']
Q4696177,['Istanbul School of Medicine']
Q5449770,['University of Otago']
Q16105397,"['University of Medicine 1, Yangon']"
Q7250879,['National University of Rwanda']
Q50365061,['University of Lancaster']
Q28567133,['University of Ljubljana']
Q6245568,['University of Edinburgh']
Q6892864,"['George Washington University', 'Howard University', 'Temple University Beasley School of Law', 'Omdurman Islamic University']"
Q7106472,['Kwame Nkrumah University of Science and Technology']
Q6983016,['University of Yangon']
Q24951186,['Sciences Po']
Q16185584,"['Harvard Law School', 'University of Liberia', 'Cuttington University']"
Q7931350,"['Occidental College', 'University of Tennessee']"
Q22007294,"['Princeton Theological Seminary', 'Concordia University']"
Q23772130,['Mawlamyine University']
Q16193152,['University of Fort Hare']
Q47092717,"['Sudan University of Science and Technology', 'Arab League Educational, Cultural and Scientific Organization', 'Omdurman Islamic University']"
Q4450763,['Yerevan State Medical University']
Q7839342,"[""St Stephen's House""]"
Q5661574,['University of Birmingham']
Q6796135,"['University of Illinois system', 'University of Illinois at Urbana–Champaign', 'University of Manchester', 'University of Malawi']"
Q4866719,['Yerevan State University']
Q5949557,['King Saud University']
Q4240153,"['', 'Grodno State Agrarian University']"
Q6142377,['Knox Grammar School']
Q20810423,"['University of Ghana', 'Achimota School']"
Q11533300,['Hitotsubashi University']
Q19663204,['Somali National University']
Q17146204,['Chelsea College of Art and Design']
Q12795868,['Academy of Music']
Q4088045,"['Shevchenko Transnistria State University', 'Ioffe Institute']"
Q28966933,['University of Latvia']
Q15709909,['Gerasimov Institute of Cinematography']
Q4071296,['Azerbaijan Medical University']
Q18589963,['University of London']
Q18205927,['Eastern Mennonite University']
Q29446430,['National University of Mongolia']
Q51120777,['University of National and World Economy']
Q58494575,['Fourah Bay College']
Q7844794,['University of the West Indies']
Q4071293,['Saint Petersburg Stieglitz State Academy of Art and Design']
Q28055247,"['Embry–Riddle Aeronautical University', 'U.S.C. Institute of Safety and Systems Management']"
Q4059748,['National Polytechnic University of Armenia']
Q21593061,"['George Washington University', 'University of California, Davis']"
Q13134137,['Moscow State University']
Q12839976,['Azerbaijan State University of Culture and Arts']
Q16350401,['University of Latvia']
Q4892796,"['Fourah Bay College', 'University of Reading', 'Njala University']"
Q16179807,['Kim Il-sung University']
Q4366813,['Yerevan State University']
Q15699596,['Maxim Gorky Literature Institute']
Q26465830,['Ghana Institute of Management and Public Administration']
Q7154160,['Kwame Nkrumah University of Science and Technology']
Q27063131,['University of Zambia']
Q16398504,['Yerevan State University']
Q24239053,['United States Army War College']
Q6891568,['John F. Kennedy School of Government']
Q16466758,"['La Sapienza University of Rome', 'Somali National University']"
Q17402931,['Anna Maria College']
Q7035441,['University of Tasmania']
Q7409492,['Lebanese University']
Q16016280,"['University of the South Pacific', 'Australian National University']"
Q30345448,"['University of Ghana', 'University of Leicester']"
Q12181663,['Saint Joseph University']
Q12795764,['Academy of Music']
Q16106032,['Northeastern Illinois University']
Q16733895,"['University of London', 'Johns Hopkins University', 'University of East Anglia', 'Paul H. Nitze School of Advanced International Studies']"
Q20533688,['National University of Uzbekistan']
Q7177175,['University of Guam']
Q20635399,['University of Khartoum']
Q3131082,"['ESSEC Business School', ""École nationale d'administration"", 'Sciences Po']"
Q12786054,['University of Ljubljana']
Q6278636,['En los muelles de la cama']
Q4211614,['Jāzeps Vītols Latvian Academy of Music']
Q27449430,['National University of Lesotho']
Q7071637,"['Makerere University', 'University of Zambia']"
Q57447297,"['Namilyango College', 'Makerere University']"
Q12792227,['University of Ljubljana']
Q4077526,['Saint Petersburg Conservatory']
Q12829512,['Uzbekistan State Institute of Arts and Culture']
Q28195003,['University of Latvia']
Q4299148,['Lviv University']
Q7689716,['Anglo-Chinese School']
Q48425165,"['', 'Aix-Marseille University', 'Panthéon-Assas University']"
Q4153671,['Yerevan State Komitas Conservatory']
