wikidata_code_b,educationQ2127022,['The Royal Conservatory of Music']
Q7504868,"['University of Dar es Salaam', 'University of Surrey', 'University of Reading']"
Q22343041,['University of Yangon']
Q16735391,"['Stony Brook University', 'International Center of Photography', 'Maryland Institute College of Art']"
Q2899638,['Magdalen College']
Q44275924,['University of London']
Q4665775,"[""King's College London"", ""King's College""]"
Q3553727,['Moldova State University']
Q29857321,['University of Dhaka']
Q3526003,"['University of Delhi', 'Columbia University']"
Q5235091,['Harrison College']
Q4422683,['University of Latvia']
Q3289324,['Ecole Spéciale Militaire de Saint-Cyr']
Q16346438,['University of Dhaka']
Q2883576,['National University of Zaire']
Q2211076,"['Kwame Nkrumah University of Science and Technology', 'University of Essex', 'University of Exeter']"
Q4985246,['Mzumbe University']
Q13033009,"['Minsk State Linguistic University', '']"
Q21608983,['Free University of Brussels']
Q16151955,['University of Illinois system']
Q8023150,['Makerere University']
Q16187059,"['University of East Anglia', 'Addis Ababa University']"
Q5217111,"['University of Auckland', 'University of the South Pacific']"
Q13124686,"['University of Glasgow', 'University of Nairobi']"
Q28852625,"['University of Leeds', 'Makerere University']"
Q3011884,"['School for Advanced Studies in the Social Sciences', 'ENSAE Paris', 'Paris Dauphine University', '']"
Q16018419,"['Naval War College', 'Britannia Royal Naval College']"
Q5627924,"[""King's College London""]"
Q7929588,['Ananda College']
Q4070339,['Russian Academy of State Service']
Q3805062,['Turkmen State Institute of Architecture and Construction']
Q4664724,"['Tunis El Manar University', ""Sana'a University""]"
Q16377349,['Azerbaijan State University of Culture and Arts']
Q7282014,['Azerbaijan National Academy of Sciences']
Q6529449,['Imperial College London']
Q19666374,['Makerere University']
Q18978033,['University of Alberta']
Q7494657,['Tajik National University']
Q5423415,"['Fordham University', 'University of Connecticut']"
Q18001471,"['Makerere University', 'University of London']"
Q13124521,['University of Dar es Salaam']
Q4806622,['Cairo  University']
Q26721408,"['Imperial College London', 'University of Zambia']"
Q4285914,['Belarusian State Academy of Arts']
Q17043452,['Minsk State Art College']
Q7880825,['Middle East Technical University']
Q4215052,['Moscow State University of Design and Technology']
Q16269353,['Cheikh Anta Diop University']
Q42872836,['Makerere University']
Q1564857,['University of Belgrade Faculty of Philology']
Q4696089,['Harvard University']
Q8779518,['Gerasimov Institute of Cinematography']
Q55634714,['Rajshahi University']
Q12283938,['Ss. Cyril and Methodius University of Skopje']
Q126478,['Ss. Cyril and Methodius University of Skopje']
Q4710618,['University of Warwick']
Q4248578,"['Saint Petersburg State Institute of History', 'Kyrgyz National University']"
Q6687538,"['University of Manchester', 'Makerere University']"
Q12272552,['Ss. Cyril and Methodius University of Skopje']
Q4937484,['University of Belgrade School of Medicine']
Q16729606,['York University']
Q12207945,"['Florida State University', 'Kuwait University']"
Q16115995,['Alexandria University']
Q21065112,['Omdurman Islamic University']
Q339081,['Defence Services Academy']
Q7529924,"['University of Pretoria', 'University of Khartoum']"
Q18394603,"['Yale School of Management', 'University of Ghana']"
Q4166593,['ETH Zurich']
Q3195936,"[""Conservatoire national supérieur d'art dramatique""]"
Q5666752,['University of Santiago de Compostela']
Q7795953,['National Economics University']
Q7326987,['University of Natal']
Q50345208,['University of Zambia']
Q30005560,['Paris Diderot University']
Q12784551,['University of Ljubljana']
Q4167224,['Agricultural University of Tajikistan']
Q7086867,['Makerere University']
Q17043689,['Saint Petersburg Mining University']
Q4985242,['University of Dar es Salaam']
Q4294178,['State Conservatory of Usbekistan']
Q11714193,['Tajik National University']
Q4768083,['Catholic University of Central Africa']
Q7881219,"['University of Oxford', 'Columbia Business School', 'American University of Beirut']"
Q6239559,"[""King's College London""]"
Q12213143,['University of Illinois system']
Q12755386,['University of Belgrade']
Q4740195,['Dharmaraja College']
Q2887747,['University of Lisbon']
Q16107047,['University of Edinburgh']
Q20925016,['New York University']
Q42894788,['Repin Institute of Arts']
Q7710081,['Defence Services Academy']
Q4073081,['Baku State University']
Q5536384,['Alliance High School']
Q58007603,"['University of Michigan', 'American University of Beirut']"
Q4460714,['M.V. Frunze Military Academy']
Q28968147,['Nottingham Trent University']
Q7560572,"['Flinders University', 'University of Adelaide']"
Q19938228,['Cairo  University']
Q12180686,"['University of Missouri', 'University of Khartoum']"
Q13070148,"['University of Medicine 1, Yangon']"
Q4173595,['Yerevan State University']
Q7398255,"['City, University of London']"
Q7153647,['University of the Free State']
Q5873448,['Defence Services Academy']
Q12207962,['Damascus University']
Q17070320,['Defence Services Academy']
Q11241509,['Kim Il-sung University']
Q3324748,['University of Rochester']
Q2957763,['Harvard Business School']
Q29958071,"['University of Wisconsin System', 'National University of Lesotho']"
Q4333506,['NTU Dnipro Polyteсhnic']
Q11167994,"['Union College', 'Indian Institute of Science', 'Addis Ababa University']"
Q4404425,['Uzbekistan State Institute of Arts and Culture']
Q4821900,['University of Yangon']
Q2837082,['University of Picardie Jules-Verne']
Q25051158,"[""Peoples' Friendship University of Russia""]"
Q4666468,"[""Peoples' Friendship University of Russia""]"
Q1965428,"['Minsk State Art College', 'Belarusian State Academy of Arts']"
Q4711919,['Texas A&M University']
Q6892951,"['University of Ottawa', 'Ain Shams University']"
Q6406296,['Planökonomisches Institut (Berlin)']
Q1618879,"['University of Kansas', 'University of Pristina', 'Aston University', 'Faculty of Science, University of Zagreb']"
Q16190522,['Royal College of Surgeons in Ireland']
Q2281867,"['Wilberforce University', 'University of Wisconsin–Madison']"
Q545986,['Istanbul University']
Q7346728,['University of South Australia']
Q19372427,"['McGill University', 'University of the West Indies']"
Q23386122,"['University of Medicine 1, Yangon']"
Q18378057,['University of Madagascar']
Q4756460,['University of Michigan']
Q19828957,['Universidad Nacional Autónoma de Honduras']
Q4341962,['Maxim Gorky Literature Institute']
Q20810643,"['Cardiff University', 'University of Essex']"
Q43383465,['ESSEC Business School']
Q18217983,['Lelean Memorial School']
Q9166663,['Universiteti i Prishtinës']
Q19666176,"['Cairo  University', 'Kuwait University']"
Q7279324,"['Harvard Law School', 'Makerere University']"
Q1949050,"['University of Massachusetts Amherst', 'Lincoln University']"
Q19773095,['Tajik National University']
Q18746531,['Beirut Arab University']
Q16269557,['Southern Illinois University']
Q7659743,['Makerere College School']
Q42883022,['American University of Beirut']
Q26308938,"['Omar Bongo University', 'Mohammed V University']"
Q26205352,"[""University of Science and Technology, Sana'a""]"
Q4277757,['University of Kharkiv']
Q4034811,['Leiden University']
Q6058420,['Istanbul School of Medicine']
Q51048640,"['École nationale supérieure des Beaux-Arts', 'Rhode Island School of Design', 'Pilchuck Glass School']"
Q18410851,"['Fourah Bay College', 'London School of Economics and Political Science']"
Q4683914,['UC Berkeley College of Engineering']
Q16192585,['Cuttington University']
Q12880743,"['Aristotle University of Thessaloniki', 'Democritus University of Thrace']"
Q12844049,['Gerasimov Institute of Cinematography']
Q20740927,['University of Colorado Boulder']
Q5707626,['University of Panama']
Q47009214,['Yerevan State University']
